,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,58,42,35,31,31,31,31,31,29,28,28,28,28,28,28,27,26,25,25,25,24,24,23,23,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,23,23,23,23,23,24,25,25,25,25,25,25,25,24,21,26
1,53,40,33,30,30,27,27,27,27,27,26,26,26,25,24,23,24,23,23,22,22,22,21,21,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,20,20,20,21,23,23,23,23,23,23,25,25,25,25,26,23,20,20
2,54,39,33,30,29,28,28,28,28,28,28,26,26,25,24,24,23,23,23,23,22,22,22,22,21,21,20,19,19,19,19,19,19,19,20,20,19,19,20,20,20,20,21,21,21,21,23,24,23,25,25,25,27,27,27,27,28,25,22,21
3,54,39,33,29,29,29,29,29,29,27,27,26,25,25,24,24,24,23,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,20,20,22,22,23,23,25,26,26,26,28,28,28,28,29,28,24,23
4,55,40,32,29,28,27,27,27,30,29,26,24,24,24,24,23,22,22,22,22,20,20,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,19,19,19,19,19,20,20,21,21,23,23,23,23,24,25,26,26,28,28,28,27,24,23
5,55,40,31,28,27,27,27,41,199,164,24,24,24,24,23,22,22,22,20,20,20,20,19,19,19,17,17,16,16,16,16,16,16,16,16,16,16,16,16,18,18,19,20,20,21,21,22,21,21,22,23,23,25,26,26,28,28,27,24,24
6,55,37,31,27,27,27,26,159,204,164,23,22,22,22,22,20,19,19,18,18,19,19,19,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,20,21,22,22,22,23,23,24,24,25,26,26,25,24,23
7,55,37,31,27,27,27,86,199,196,164,22,22,22,22,20,20,19,19,17,17,17,17,17,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,19,19,20,20,22,22,22,22,23,23,25,26,27,25,22,21
8,54,37,30,27,27,42,195,90,182,163,22,22,22,20,19,19,18,19,17,17,17,17,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,17,19,19,19,20,22,22,22,23,23,24,24,25,25,22,21
9,52,37,30,27,33,180,157,25,182,163,22,22,20,20,19,17,17,17,17,17,17,17,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,17,16,17,17,19,19,20,20,22,22,22,22,23,24,25,25,22,19
10,52,37,31,27,65,203,109,61,187,172,49,20,20,20,17,17,17,17,17,17,17,15,16,16,14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14,16,16,17,17,17,17,18,19,20,20,20,22,22,22,24,24,25,25,22,19
11,53,37,30,27,94,193,193,193,203,201,146,20,20,18,17,17,17,17,16,16,15,15,14,14,14,14,13,13,12,12,12,12,12,12,13,13,13,13,14,14,14,14,16,16,17,17,17,18,19,19,20,20,22,22,22,23,24,23,22,20
12,53,37,31,26,24,24,23,23,182,163,20,20,18,17,17,17,17,17,16,16,14,14,14,14,13,13,13,13,12,12,12,12,12,12,13,13,13,13,13,14,14,14,16,16,17,17,17,17,17,19,20,20,22,22,23,23,25,23,21,20
13,53,37,30,26,25,24,23,22,148,132,18,18,17,17,17,17,15,15,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,15,15,16,16,17,17,17,18,19,19,20,22,23,23,24,23,20,20
14,53,37,29,25,25,24,23,22,20,20,18,18,17,17,17,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,16,16,17,17,18,18,18,19,20,21,22,23,24,23,20,20
